titulo,empresa,ubicacion,salario,modalidad,jornada,Area,pagina,habilidades_hard,habilidades_soft
Líder De Automatización QA - Trabajo Remoto,BairesDev,"Anywhere, Guayas",,,,QA,bing,"jira, excel, restful apis, scrum, ci/cd, machine learning, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, liderazgo, adaptabilidad, atención al detalle, creatividad, pensamiento crítico"
Gerente De QA / Investigación + Desarrollo,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"python, aws, excel, machine learning, casos de prueba","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Analista QA,SIPECOM S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"sql, azure, jmeter, devops, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, resolución de problemas, atención al detalle, creatividad"
Analista QA,Integrity Solutions,"Guayaquil, Guayas",,,,QA,bing,"c++, excel, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, resolución de problemas, atención al detalle, proactividad"
Ingeniero QA,LOGIC STUDIO S.A.,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"sql, excel, restful apis, pruebas manuales, pruebas automatizadas, casos de prueba","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
QA - Wordpress Plugin Tester,WPMU DEV,"Guayaquil, Guayas",,,,QA,bing,"java, javascript, php, html/css, sql, git, restful apis, machine learning, wordpress, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, comunicación, pensamiento crítico"
Software Tester (QA) / R + D - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,bing,"unix, linux, casos de prueba","atención al detalle, comunicación, pensamiento crítico"
QA Automation With Salesforce Administration,FullStack Labs,"Guayaquil, Guayas",,Remoto,,QA,bing,"c++, git, jira, scrum, machine learning, salesforce, testing, casos de prueba, test automation, test planning","trabajo en equipo, atención al detalle, inglés avanzado"
Especialista En QA De Software / Investigación +,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
QA Automation Architect - Remote Work,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,bing,"java, python, c++, excel, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, inglés avanzado"
Desarrollador De Automatización De QA,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"java, python, c++, excel, machine learning, unix, linux, pruebas manuales, pruebas automatizadas, casos de prueba, test automation, desarrollo web, desarrollo móvil, desarrollo de software","trabajo en equipo, comunicación, liderazgo, resolución de problemas, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad, inglés avanzado"
Trabajo Desde Casa Analista De QA Senior Investigación Y Desarrollo Ref. 0027S RD,BairesDev,"Guayaquil, Guayas",,,tiempo completo,QA,bing,"machine learning, unix, linux, pruebas manuales, pruebas automatizadas, testing, casos de prueba, test automation, test planning","trabajo en equipo, comunicación, adaptabilidad, orientación a resultados, aprendizaje continuo, atención al detalle, creatividad"
Work From Home Junior QA Automation Research Development Ref. 0166E RD,BairesDev,"Anywhere, Guayas",,Remoto,tiempo completo,QA,bing,"java, python, c++, jira, excel, restful apis, scrum, machine learning, unix, linux, testing, casos de prueba, test automation, test planning","trabajo en equipo, adaptabilidad, aprendizaje continuo, creatividad, inglés avanzado"
